,user_id,test_group,created_order_in_3_days,order_sum,geo_group,marketing_group
0,1057393,test,0.0,,regions,context_brand
1,1005901,control,0.0,,msk,context_brand
2,1049074,test,0.0,,regions,organic
3,1027399,control,0.0,,regions,context_brand
4,1060042,test,0.0,,regions,social_media
5,1053325,test,1.0,7638.0,regions,target_direct
6,1033759,test,1.0,5615.0,msk,target_direct
7,1059346,test,1.0,6144.0,regions,context_brand
8,1008877,control,0.0,,spb,target_direct
9,1033567,test,0.0,,msk,target_direct
10,1046089,test,0.0,,regions,organic
11,1037122,test,1.0,5601.0,msk,social_media
12,1025236,control,0.0,,regions,target_direct
13,1003216,control,1.0,14012.0,msk,target_direct
14,1035676,test,1.0,13034.0,msk,context_brand
15,1003474,control,1.0,50.0,msk,target_direct
16,1056640,test,0.0,,regions,context_brand
17,1008730,control,1.0,5106.0,spb,target_direct
18,1027507,control,1.0,1600.0,regions,context_brand
19,1036252,test,1.0,7309.0,msk,context_brand
20,1002541,control,1.0,6570.0,msk,target_direct
21,1015429,control,0.0,,regions,organic
22,1060942,test,0.0,,regions,social_media
23,1034284,test,1.0,50.0,msk,target_direct
24,1047949,test,0.0,,regions,organic
25,1017298,control,1.0,4503.0,regions,organic
26,1015579,control,1.0,2000.0,regions,organic
27,1026955,control,0.0,,regions,context_brand
28,1030462,control,0.0,,regions,social_media
29,1055314,test,0.0,,regions,target_direct
30,1040170,test,1.0,50.0,spb,target_direct
31,1015771,control,1.0,5392.0,regions,organic
32,1002070,control,0.0,,msk,organic
33,1002337,control,1.0,15866.0,msk,target_direct
34,1011967,control,1.0,5872.0,regions,organic
35,1045405,test,0.0,,regions,organic
36,1056313,test,1.0,5049.0,regions,context_brand
37,1022932,control,0.0,,regions,target_direct
38,1007290,control,1.0,2000.0,spb,organic
39,1013155,control,0.0,,regions,organic
40,1002085,control,0.0,,msk,organic
41,1002334,control,0.0,,msk,target_direct
42,1032691,test,0.0,,msk,organic
43,1010119,control,0.0,,spb,target_direct
44,1017883,control,0.0,,regions,target_direct
45,1006813,control,0.0,,spb,organic
46,1045723,test,0.0,,regions,organic
47,1040413,test,0.0,,spb,target_direct
48,1023034,control,1.0,50.0,regions,target_direct
49,1004146,control,0.0,,msk,target_direct
50,1027681,control,0.0,,regions,context_brand
51,1015729,control,0.0,,regions,organic
52,1050526,test,0.0,,regions,target_direct
53,1056283,test,1.0,3809.0,regions,context_brand
54,1004647,control,1.0,5581.0,msk,target_direct
55,1054027,test,1.0,4515.0,regions,target_direct
56,1002853,control,0.0,,msk,target_direct
57,1039138,test,0.0,,spb,organic
58,1005877,control,0.0,,msk,context_brand
59,1047196,test,0.0,,regions,organic
60,1009282,control,0.0,,spb,target_direct
61,1005004,control,0.0,,msk,target_direct
62,1012291,control,0.0,,regions,organic
63,1043848,test,0.0,,regions,organic
64,1013485,control,0.0,,regions,organic
65,1054321,test,0.0,,regions,target_direct
66,1000519,control,0.0,,msk,organic
67,1000423,control,0.0,,msk,organic
68,1040449,test,0.0,,spb,target_direct
69,1054555,test,1.0,6246.0,regions,target_direct
70,1005421,control,1.0,22560.0,msk,context_brand
71,1004191,control,0.0,,msk,target_direct
72,1030645,control,1.0,4018.0,regions,social_media
73,1005856,control,1.0,8133.0,msk,context_brand
74,1044415,test,1.0,5128.0,regions,organic
75,1046698,test,0.0,,regions,organic
76,1034824,test,0.0,,msk,target_direct
77,1030798,test,1.0,2000.0,msk,organic
78,1059955,test,0.0,,regions,social_media
79,1029190,control,0.0,,regions,social_media
80,1035481,test,0.0,,msk,context_brand
81,1036174,test,0.0,,msk,context_brand
82,1057567,test,0.0,,regions,context_brand
83,1022155,control,0.0,,regions,target_direct
84,1001347,control,0.0,,msk,organic
85,1060666,test,0.0,,regions,social_media
86,1053844,test,0.0,,regions,target_direct
87,1034656,test,1.0,15554.0,msk,target_direct
88,1039579,test,1.0,6639.0,spb,organic
89,1050445,test,0.0,,regions,target_direct
90,1040143,test,0.0,,spb,target_direct
91,1039162,test,1.0,2000.0,spb,organic
92,1030900,test,0.0,,msk,organic
93,1030066,control,1.0,13490.0,regions,social_media
94,1041370,test,1.0,6793.0,spb,context_brand
95,1015144,control,1.0,9418.0,regions,organic
96,1061545,test,0.0,,regions,social_media
97,1011766,control,1.0,9820.0,spb,social_media
98,1017076,control,1.0,9418.0,regions,organic
99,1005103,control,0.0,,msk,target_direct
100,1021066,control,0.0,,regions,target_direct
101,1007995,control,1.0,11714.0,spb,organic
102,1046941,test,1.0,2000.0,regions,organic
103,1056328,test,1.0,7876.0,regions,context_brand
104,1049203,test,0.0,,regions,organic
105,1002466,control,0.0,,msk,target_direct
106,1032706,test,0.0,,msk,organic
107,1039018,test,0.0,,spb,organic
108,1001743,control,1.0,7286.0,msk,organic
109,1020223,control,0.0,,regions,target_direct
110,1038385,test,0.0,,spb,organic
111,1038703,test,1.0,6635.0,spb,organic
112,1056874,test,0.0,,regions,context_brand
113,1009732,control,0.0,,spb,target_direct
114,1010650,control,1.0,5252.0,spb,target_direct
115,1040611,test,0.0,,spb,target_direct
116,1038145,test,1.0,11160.0,spb,organic
117,1001971,control,0.0,,msk,organic
118,1045420,test,0.0,,regions,organic
119,1035772,test,1.0,7575.0,msk,context_brand
120,1059676,test,0.0,,regions,context_brand
121,1013662,control,1.0,12779.0,regions,organic
122,1002073,control,0.0,,msk,organic
123,1027240,control,0.0,,regions,context_brand
124,1057060,test,0.0,,regions,context_brand
125,1046041,test,0.0,,regions,organic
126,1048780,test,1.0,6562.0,regions,organic
127,1028113,control,0.0,,regions,context_brand
128,1034812,test,0.0,,msk,target_direct
129,1025902,control,1.0,6684.0,regions,target_direct
130,1011850,control,1.0,10822.0,spb,social_media
131,1010080,control,0.0,,spb,target_direct
132,1058425,test,0.0,,regions,context_brand
133,1005232,control,0.0,,msk,context_brand
134,1043755,test,1.0,13814.0,regions,organic
135,1054045,test,0.0,,regions,target_direct
136,1005472,control,1.0,15084.0,msk,context_brand
137,1036039,test,1.0,1600.0,msk,context_brand
138,1000654,control,1.0,13988.0,msk,organic
139,1033294,test,1.0,7283.0,msk,organic
140,1024102,control,0.0,,regions,target_direct
141,1043227,test,1.0,6024.0,regions,organic
142,1030063,control,0.0,,regions,social_media
143,1000447,control,1.0,7251.0,msk,organic
144,1036711,test,1.0,7751.0,msk,context_brand
145,1026748,control,1.0,5727.0,regions,context_brand
146,1058020,test,1.0,4283.0,regions,context_brand
147,1038469,test,1.0,2000.0,spb,organic
148,1024138,control,0.0,,regions,target_direct
149,1004680,control,0.0,,msk,target_direct
150,1004407,control,0.0,,msk,target_direct
151,1028311,control,0.0,,regions,context_brand
152,1028938,control,1.0,9068.0,regions,social_media
153,1005130,control,0.0,,msk,target_direct
154,1017499,control,0.0,,regions,organic
155,1051915,test,0.0,,regions,target_direct
156,1000300,control,0.0,,msk,organic
157,1018873,control,1.0,2490.0,regions,target_direct
158,1061452,test,0.0,,regions,social_media
159,1011769,control,0.0,,spb,social_media
160,1016404,control,0.0,,regions,organic
161,1035406,test,1.0,50.0,msk,target_direct
162,1025770,control,1.0,8087.0,regions,target_direct
163,1039459,test,1.0,6670.0,spb,organic
164,1013263,control,0.0,,regions,organic
165,1012654,control,0.0,,regions,organic
166,1061176,test,0.0,,regions,social_media
167,1019080,control,0.0,,regions,target_direct
168,1045447,test,0.0,,regions,organic
169,1051084,test,0.0,,regions,target_direct
170,1040368,test,1.0,50.0,spb,target_direct
171,1060612,test,0.0,,regions,social_media
172,1016023,control,0.0,,regions,organic
173,1043956,test,0.0,,regions,organic
174,1004056,control,0.0,,msk,target_direct
175,1044154,test,0.0,,regions,organic
176,1051945,test,0.0,,regions,target_direct
177,1012828,control,1.0,2000.0,regions,organic
178,1039423,test,0.0,,spb,organic
179,1046869,test,0.0,,regions,organic
180,1018477,control,0.0,,regions,target_direct
181,1059091,test,1.0,1600.0,regions,context_brand
182,1050118,test,0.0,,regions,organic
183,1000486,control,1.0,28565.0,msk,organic
184,1053235,test,0.0,,regions,target_direct
185,1030516,control,0.0,,regions,social_media
186,1035394,test,0.0,,msk,target_direct
187,1016509,control,1.0,5146.0,regions,organic
188,1025008,control,0.0,,regions,target_direct
189,1023571,control,0.0,,regions,target_direct
190,1055122,test,0.0,,regions,target_direct
191,1035475,test,0.0,,msk,context_brand
192,1054639,test,0.0,,regions,target_direct
193,1057180,test,0.0,,regions,context_brand
194,1001101,control,1.0,8233.0,msk,organic
195,1026463,control,0.0,,regions,context_brand
196,1022581,control,1.0,4618.0,regions,target_direct
197,1038310,test,0.0,,spb,organic
198,1037278,test,1.0,19706.0,msk,social_media
199,1011748,control,1.0,5435.0,spb,social_media
200,1055944,test,0.0,,regions,target_direct
201,1000012,control,0.0,,msk,organic
202,1045636,test,0.0,,regions,organic
203,1004506,control,1.0,50.0,msk,target_direct
204,1051702,test,0.0,,regions,target_direct
205,1048297,test,0.0,,regions,organic
206,1015453,control,0.0,,regions,organic
207,1042018,test,1.0,6326.0,spb,context_brand
208,1046755,test,0.0,,regions,organic
209,1000477,control,0.0,,msk,organic
210,1058275,test,0.0,,regions,context_brand
211,1013167,control,0.0,,regions,organic
212,1050790,test,0.0,,regions,target_direct
213,1043512,test,0.0,,regions,organic
214,1033765,test,1.0,5867.0,msk,target_direct
215,1055542,test,0.0,,regions,target_direct
216,1000804,control,0.0,,msk,organic
217,1023052,control,0.0,,regions,target_direct
218,1052350,test,0.0,,regions,target_direct
219,1020235,control,1.0,50.0,regions,target_direct
220,1013833,control,0.0,,regions,organic
221,1036204,test,0.0,,msk,context_brand
222,1016785,control,1.0,12716.0,regions,organic
223,1026496,control,0.0,,regions,context_brand
224,1047601,test,0.0,,regions,organic
225,1042591,test,1.0,5192.0,spb,social_media
226,1021036,control,0.0,,regions,target_direct
