,user_id,test_group,created_order_in_3_days,order_sum,geo_group,marketing_group
39152,1005040,control,1,5194.269328263625,msk,target_direct
19680,1069723,test,0,,msk,target_direct
6738,1064653,test,0,,msk,target_direct
12480,1063744,test,1,18940.0,msk,organic
6626,1022929,control,0,,spb,social_media
36173,1115611,test,1,14982.0,regions,context_brand
10464,1104658,test,0,,regions,target_direct
37744,1034641,control,1,5348.0,regions,organic
10672,1008592,control,1,5715.0,msk,target_direct
23350,1046383,control,0,,regions,target_direct
24651,1090705,test,1,5384.543994413408,regions,organic
22984,1065766,test,1,5384.543994413408,msk,target_direct
37654,1067890,test,0,,msk,target_direct
35069,1020751,control,1,5176.0,spb,target_direct
33586,1066087,test,0,,msk,target_direct
1623,1044685,control,0,,regions,target_direct
20928,1025953,control,0,,regions,organic
31172,1018405,control,0,,spb,target_direct
15880,1074271,test,0,,spb,organic
16389,1064053,test,0,,msk,organic
22293,1003447,control,1,19595.0,msk,organic
37836,1019431,control,0,,spb,target_direct
14536,1061650,test,1,7530.0,msk,organic
33605,1016497,control,1,2000.0,spb,organic
2992,1005112,control,0,,msk,target_direct
20917,1039114,control,0,,regions,target_direct
15660,1068823,test,0,,msk,target_direct
7686,1112773,test,0,,regions,context_brand
24301,1061311,test,1,5384.543994413408,msk,organic
18134,1053916,control,1,1600.0,regions,context_brand
37089,1052533,control,0,,regions,context_brand
37856,1076854,test,0,,spb,target_direct
3033,1099120,test,0,,regions,target_direct
22976,1077193,test,1,250.0,spb,target_direct
27227,1076188,test,0,,spb,organic
32734,1080712,test,0,,spb,target_direct
30800,1004278,control,1,5684.0,msk,target_direct
37242,1018657,control,0,,spb,target_direct
32519,1072183,test,0,,msk,social_media
3864,1084834,test,0,,regions,organic
23490,1026571,control,1,5505.0,regions,organic
12198,1051186,control,0,,regions,target_direct
10467,1043224,control,1,8750.0,regions,target_direct
3298,1002811,control,0,,msk,organic
6011,1082404,test,0,,spb,social_media
29901,1048930,control,0,,regions,target_direct
7260,1116523,test,0,,regions,social_media
777,1099681,test,0,,regions,target_direct
6785,1003303,control,0,,msk,organic
25893,1072588,test,0,,msk,social_media
16788,1074508,test,1,7277.0,spb,organic
18687,1060087,control,0,,regions,social_media
12801,1077136,test,0,,spb,target_direct
2863,1093750,test,1,8428.0,regions,organic
17017,1045300,control,0,,regions,target_direct
20363,1063360,test,0,,msk,organic
13044,1024453,control,0,,regions,organic
25629,1066405,test,1,250.0,msk,target_direct
38108,1073971,test,1,2200.0,spb,organic
4711,1060033,control,0,,regions,social_media
36733,1070455,test,0,,msk,target_direct
13060,1068511,test,0,,msk,target_direct
7897,1050124,control,1,2844.0,regions,target_direct
25895,1024072,control,0,,regions,organic
26711,1119304,test,1,400.0,regions,social_media
11859,1102039,test,0,,regions,target_direct
29138,1015567,control,1,7124.0,spb,organic
11581,1031155,control,0,,regions,organic
2251,1005700,control,1,50.0,msk,target_direct
37914,1059781,control,1,2288.0,regions,social_media
9674,1081480,test,0,,spb,context_brand
405,1071841,test,1,7113.0,msk,context_brand
38069,1080859,test,0,,spb,target_direct
1640,1002904,control,0,,msk,organic
16577,1028071,control,0,,regions,organic
29860,1075039,test,0,,spb,organic
19696,1086976,test,0,,regions,organic
10892,1005763,control,0,,msk,target_direct
16839,1038484,control,0,,regions,target_direct
12918,1101796,test,1,3468.0,regions,target_direct
18122,1046764,control,1,50.0,regions,target_direct
29480,1103065,test,0,,regions,target_direct
3753,1038553,control,0,,regions,target_direct
36482,1000282,control,0,,msk,organic
12971,1102552,test,0,,regions,target_direct
32689,1085782,test,0,,regions,organic
12244,1096471,test,0,,regions,target_direct
3715,1084813,test,1,9448.0,regions,organic
18818,1115449,test,0,,regions,context_brand
17991,1010482,control,0,,msk,context_brand
